name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bien hoa,2022-12-04T00:00:00,24,24,23,94.15,0,0,,0,0,20.5,14.8,70,1010,88,10,0,,0,5,Partially cloudy,partly-cloudy-night,VVTS
bien hoa,2022-12-04T01:00:00,24,24,22,88.6,0,0,,0,0,13.3,14.8,60,1009,88,10,0,,0,3,Partially cloudy,partly-cloudy-night,VVTS
bien hoa,2022-12-04T02:00:00,23,23,23,100,0,0,,0,0,12.2,11.2,80,1008,88,10,0,,0,3,Partially cloudy,partly-cloudy-night,VVTS
bien hoa,2022-12-04T03:00:00,23,23,23,100,0,0,,0,0,10.4,9.4,80,1008,88,10,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
bien hoa,2022-12-04T04:00:00,23,23,23,100,0,0,,0,0,9.7,6.8,6,1008,88,10,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
bien hoa,2022-12-04T05:00:00,23,23,23,100,0,0,,0,0,10.1,0,0,1008,88,8,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
bien hoa,2022-12-04T06:00:00,23,23,23,100,0,0,,0,0,8.6,3.6,70,1008,88,8,0,,0,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T07:00:00,24,24,24,100,0,0,,0,0,7.9,5.4,0.9,1010,88,10,54,0.2,1,3,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T08:00:00,26,26,25,94.23,0,0,,0,0,5,1.8,19.3,1011,88,8,279,1,3,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T09:00:00,28,31.8,24,78.91,0,0,,0,0,1.4,3.6,318.8,1011,50,8,497,1.8,5,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T10:00:00,29,32.6,23,70.1,0,0,,0,0,6.8,5.4,214.3,1011,25,10,560,2,6,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T11:00:00,30,34,23,66.17,0,0,,0,0,6.1,14.8,100,1010,25,10,336,1.2,3,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T12:00:00,31,36.4,24,66.37,0,0,,0,0,4.3,9.4,213.6,1009,25,10,434,1.6,4,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T13:00:00,32,37.8,24,62.7,0,0,,0,0,5.8,2.5,124.9,1008,50,10,491,1.8,5,10,Partially cloudy,partly-cloudy-day,VVTS
bien hoa,2022-12-04T14:00:00,30.4,33.9,22.3,61.98,0,57.1,rain,0,0,9,3.6,32.9,1007,27.2,24.1,709,2.6,7,10,"Rain, Partially cloudy",rain,
bien hoa,2022-12-04T15:00:00,30.3,33.9,22.4,62.71,0.1,57.1,rain,0,0,7.6,6.1,2.7,1007,5.9,15.7,555,2,6,30,Rain,rain,
bien hoa,2022-12-04T16:00:00,30.2,34,22.7,64.24,0.2,57.1,rain,0,0,5.8,5,342,1007,53.8,24.1,379,1.4,4,30,"Rain, Partially cloudy",rain,
bien hoa,2022-12-04T17:00:00,28.7,32.6,23.5,73.52,0.5,57.1,rain,0,0,4,4,336,1008,29.9,23.6,150,0.5,2,30,"Rain, Partially cloudy",rain,
bien hoa,2022-12-04T18:00:00,27.1,29.5,22.6,76.44,0,57.1,rain,0,0,4,4,340,1008,59.8,24.1,9,0,0,10,"Rain, Partially cloudy",rain,
bien hoa,2022-12-04T19:00:00,26.6,26.6,22.5,78.24,0,57.1,rain,0,0,1.4,1.1,15.4,1009,96.8,24.1,0,,0,10,"Rain, Overcast",rain,
bien hoa,2022-12-04T20:00:00,26.2,26.2,22.6,80.6,0,0,,0,0,3.6,3.6,136.2,1010,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-04T21:00:00,25.8,25.8,22.7,83.03,0,0,,0,0,4.7,4.7,130.9,1010,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-04T22:00:00,25.2,25.2,22.8,86.57,0.1,0,rain,0,0,5.4,5,146.3,1011,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-04T23:00:00,24.8,24.8,22.7,88.12,0,0,,0,0,4.7,4.7,152.5,1010,99.9,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-05T00:00:00,24.6,24.6,22.6,88.64,0,0,,0,0,2.9,2.9,122.2,1010,93.6,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-05T01:00:00,24.4,24.4,22.6,89.71,0,0,,0,0,2.5,2.2,54.1,1010,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-05T02:00:00,24.2,24.2,22.5,90.24,0,0,,0,0,4.7,4.3,24.3,1009,76.4,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-05T03:00:00,24,24,22.5,91.33,0,0,,0,0,6.5,6.1,11.9,1009,30.8,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-05T04:00:00,23.7,23.7,22.5,93,0,0,,0,0,8.3,7.2,12.7,1009,50,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-05T05:00:00,23.5,23.5,22.3,92.99,0,0,,0,0,9.4,7.9,21.5,1010,52.4,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-05T06:00:00,23.2,23.2,22.1,93.54,0,0,,0,0,9.7,7.9,27.1,1010,23.4,24.1,0,,0,3,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-05T07:00:00,24.3,24.3,22.5,89.7,0,0,,0,0,9.4,6.8,19.2,1011,86.2,24.1,63,0.2,1,3,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-05T08:00:00,25.9,25.9,22.7,82.54,0,0,,0,0,7.9,6.8,12.9,1012,91.8,24.1,239,0.9,2,10,Overcast,cloudy,
bien hoa,2022-12-05T09:00:00,27.2,29.9,23,77.85,0,0,,0,0,7.2,6.8,0.4,1012,100,24.1,412,1.5,4,10,Overcast,cloudy,
bien hoa,2022-12-05T10:00:00,27.7,30.7,23,75.61,0,0,,0,0,6.8,6.5,339.4,1011,100,24.1,340,1.2,3,10,Overcast,cloudy,
bien hoa,2022-12-05T11:00:00,28.3,31.7,23.1,73.45,0,0,,0,0,5,4.7,335.8,1011,100,24.1,393,1.4,4,30,Overcast,cloudy,
bien hoa,2022-12-05T12:00:00,28.6,32.1,23,71.74,0,0,,0,0,2.5,1.4,337,1010,100,24.1,345,1.2,3,30,Overcast,cloudy,
bien hoa,2022-12-05T13:00:00,28.7,32.2,23,71.33,0,0,,0,0,4,2.9,307.1,1008,100,24.1,295,1.1,3,30,Overcast,cloudy,
bien hoa,2022-12-05T14:00:00,29.1,32.8,23,69.69,0,61.9,rain,0,0,4.3,2.9,293.5,1008,100,24.1,340,1.2,3,30,"Rain, Overcast",rain,
bien hoa,2022-12-05T15:00:00,29.6,33.5,23,67.71,0,61.9,rain,0,0,4.3,4.7,247.4,1007,99.6,24.1,414,1.5,4,30,"Rain, Overcast",rain,
bien hoa,2022-12-05T16:00:00,29.4,33.3,23.1,68.91,0,61.9,rain,0,0,4,5,211.5,1007,99.7,24.1,290,1,3,30,"Rain, Overcast",rain,
bien hoa,2022-12-05T17:00:00,27.3,30.2,23.3,78.82,1.2,61.9,rain,0,0,8.3,7.2,163.8,1008,47.5,24.1,137,0.5,1,30,"Rain, Partially cloudy",rain,
bien hoa,2022-12-05T18:00:00,26.3,26.3,22.7,80.61,0.8,61.9,rain,0,0,5.8,5.8,160.5,1008,99,23.7,9,0,0,10,"Rain, Overcast",rain,
bien hoa,2022-12-05T19:00:00,26.2,26.2,22.8,81.58,0.2,61.9,rain,0,0,5.8,5.4,194.6,1009,100,24.1,0,,0,10,"Rain, Overcast",rain,
bien hoa,2022-12-05T20:00:00,25.7,25.7,23,85.06,0,19,,0,0,7.6,7.6,188.3,1010,96.1,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-05T21:00:00,24.9,24.9,23.1,89.75,0.3,19,rain,0,0,7.9,7.6,182.1,1010,99.4,14.5,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-05T22:00:00,24.6,24.6,23.1,91.37,0,19,,0,0,6.1,6.1,172.4,1010,84.9,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-05T23:00:00,24.3,24.3,23,92.47,0.4,19,rain,0,0,3.6,3.2,164.5,1010,84.2,18.3,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-06T00:00:00,24.2,24.2,22.9,92.46,0.1,19,rain,0,0,0.7,0.7,280.1,1010,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T01:00:00,24.1,24.1,22.8,92.46,0,19,,0,0,4,4,22.9,1009,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T02:00:00,23.9,23.9,22.8,93.57,0,4.8,,0,0,6.1,6.1,32.9,1009,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T03:00:00,23.6,23.6,22.7,94.7,0,4.8,,0,0,7.9,6.8,24.8,1008,99.8,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T04:00:00,23.4,23.4,22.6,95.27,0,4.8,,0,0,10.1,7.9,9.5,1009,85.2,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-06T05:00:00,23.2,23.2,22.5,95.85,0,4.8,,0,0,11.9,8.3,353.7,1009,8.8,24.1,0,,0,10,Clear,clear-night,
bien hoa,2022-12-06T06:00:00,23,23,22.4,96.42,0,4.8,,0,0,12.6,7.9,345.7,1009,100,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T07:00:00,23.9,23.9,22.6,92.44,0,4.8,,0,0,10.8,7.2,349.9,1010,84.9,24.1,47,0.2,0,10,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-06T08:00:00,25.4,25.4,22.6,84.51,0,0,,0,0,7.6,5.8,358.8,1010,82.2,24.1,216,0.8,2,10,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-06T09:00:00,27.2,29.8,22.8,76.92,0,0,,0,0,4.7,4.3,358.6,1011,45.2,24.1,469,1.7,5,10,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-06T10:00:00,28.8,32.3,23,70.92,0,0,,0,0,3.6,4,336.7,1010,5,24.1,664,2.4,7,10,Clear,clear-day,
bien hoa,2022-12-06T11:00:00,30.1,34.3,23.1,66.19,0,0,,0,0,3.2,4,324,1010,35,24.1,793,2.9,8,30,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-06T12:00:00,31,35.3,22.9,62.11,0,0,,0,0,3.2,3.2,336.2,1008,68.2,24.1,837,3,8,30,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-06T13:00:00,31.5,35.3,22.3,58.21,0,0,,0,0,6.5,4.3,11.5,1007,85,24.1,792,2.9,8,10,Partially cloudy,partly-cloudy-day,
bien hoa,2022-12-06T14:00:00,31.8,35.3,21.8,55.5,0,61.9,rain,0,0,7.9,5.4,357.5,1006,66.8,24.1,717,2.6,7,10,"Rain, Partially cloudy",rain,
bien hoa,2022-12-06T15:00:00,31.6,34.9,21.7,55.8,0,61.9,rain,0,0,5,5.8,320.3,1006,100,24.1,496,1.8,5,10,"Rain, Overcast",rain,
bien hoa,2022-12-06T16:00:00,31.3,35.2,22.4,59.23,0,61.9,rain,0,0,4,4,293.5,1006,100,24.1,303,1.1,3,30,"Rain, Overcast",rain,
bien hoa,2022-12-06T17:00:00,29.3,32.9,22.8,68.06,0.1,61.9,rain,0,0,4,2.5,169,1006,100,15.3,106,0.4,1,30,"Rain, Overcast",rain,
bien hoa,2022-12-06T18:00:00,26.5,26.5,22.5,78.7,0.4,61.9,rain,0,0,15.1,11.5,155.7,1007,99.7,24.1,8,0,0,10,"Rain, Overcast",rain,
bien hoa,2022-12-06T19:00:00,25.4,25.4,23,86.59,0.1,61.9,rain,0,0,19.8,10.8,164.7,1008,96.7,24.1,0,,0,10,"Rain, Overcast",rain,
bien hoa,2022-12-06T20:00:00,25.5,25.5,23,86.07,0,9.5,,0,0,11.5,7.9,161.8,1009,94.1,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T21:00:00,25.6,25.6,23,85.57,0,9.5,,0,0,6.5,6.1,163.2,1009,77.1,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-06T22:00:00,25.4,25.4,22.9,86.07,0,9.5,,0,0,4,4,160,1009,97.3,24.1,0,,0,10,Overcast,cloudy,
bien hoa,2022-12-06T23:00:00,25.2,25.2,22.8,86.57,0,9.5,,0,0,2.5,2.2,85.9,1009,54.4,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-07T00:00:00,24.8,24.8,22.8,88.66,0,9.5,,0,0,4.7,4.7,44.4,1009,29.3,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-07T01:00:00,24.5,24.5,22.8,90.26,0,9.5,,0,0,6.1,6.1,19.3,1008,84,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
bien hoa,2022-12-07T02:00:00,24.1,24.1,22.7,91.9,0,9.5,,0,0,6.8,6.8,4.6,1008,100,24.1,0,,0,10,Overcast,cloudy,
