name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
ho chi minh,2022-12-04T00:00:00,24,24,23,94.15,0,0,,0,0,34.9,14.8,70,1010,88,10,0,,0,5,Partially cloudy,partly-cloudy-night,VVTS
ho chi minh,2022-12-04T01:00:00,24,24,22,88.6,0,0,,0,0,20.2,14.8,60,1009,88,10,0,,0,3,Partially cloudy,partly-cloudy-night,VVTS
ho chi minh,2022-12-04T02:00:00,23,23,23,100,0,0,,0,0,11.2,11.2,80,1008,88,10,0,,0,3,Partially cloudy,partly-cloudy-night,VVTS
ho chi minh,2022-12-04T03:00:00,23,23,23,100,0,0,,0,0,11.5,9.4,80,1008,88,10,0,,0,3,Partially cloudy,partly-cloudy-night,VVTS
ho chi minh,2022-12-04T04:00:00,23,23,23,100,0,0,,0,0,14,6.8,33.1,1008,88,10,0,,0,3,Partially cloudy,partly-cloudy-night,VVTS
ho chi minh,2022-12-04T05:00:00,23,23,23,100,0,0,,0,0,15.8,0,0,1008,88,8,0,,0,10,Partially cloudy,partly-cloudy-night,VVTS
ho chi minh,2022-12-04T06:00:00,23,23,23,100,0,0,,0,0,13,3.6,70,1008,88,8,0,,0,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T07:00:00,24,24,24,100,0,0,,0,0,7.2,4,19.6,1010,88,10,51,0.2,1,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T08:00:00,26,26,25,94.23,0,0,,0,0,5,1.8,37.2,1011,88,8,268,1,3,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T09:00:00,28,31.8,24,78.91,0,0,,0,0,7.6,3.6,102.7,1011,50,8,487,1.8,5,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T10:00:00,29,32.6,23,70.1,0,0,,0,0,14,5.8,120.9,1011,25,10,485,1.7,5,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T11:00:00,30,34,23,66.17,0,0,,0,0,16.6,14.8,100,1010,25,10,438,1.6,4,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T12:00:00,31,36.4,24,66.37,0,0,,0,0,18,9.4,94.8,1009,25,10,582,2.1,6,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T13:00:00,32,37.8,24,62.7,0,0,,0,0,19.4,10.4,73.6,1008,50,10,705,2.5,7,10,Partially cloudy,partly-cloudy-day,VVTS
ho chi minh,2022-12-04T14:00:00,32,35.2,21.5,53.88,0,52.4,rain,0,0,21.6,9.7,64.6,1007,60.4,24.1,731,2.6,7,10,"Rain, Partially cloudy",rain,
ho chi minh,2022-12-04T15:00:00,30.8,34.5,22.3,60.57,0.2,52.4,rain,0,0,18,10.4,92.4,1007,88.7,14.9,414,1.5,4,30,"Rain, Partially cloudy",rain,
ho chi minh,2022-12-04T16:00:00,29.2,32.8,22.9,68.87,0.4,52.4,rain,0,0,20.9,11.2,115.3,1007,48.5,9.9,261,0.9,3,30,"Rain, Partially cloudy",rain,
