name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
phan thiet,2022-12-04T00:00:00,22.5,22.5,20.7,89.57,0,0,,0,0,8.6,7.6,21.7,1010,100,24.1,0,,0,3,Overcast,cloudy,remote
phan thiet,2022-12-04T01:00:00,22.5,22.5,20.5,88.47,0,0,,0,0,6.8,6.1,29.4,1009,100,24.1,0,,0,10,Overcast,cloudy,remote
phan thiet,2022-12-04T02:00:00,22.6,22.6,20.4,87.4,0,0,,0,0,5.4,5,27.6,1009,100,24.1,0,,0,10,Overcast,cloudy,remote
phan thiet,2022-12-04T03:00:00,22.6,22.6,20.3,86.86,0,0,,0,0,6.1,5.8,36.9,1008,93,24.1,0,,0,10,Overcast,cloudy,remote
phan thiet,2022-12-04T04:00:00,22.4,22.4,20.1,86.84,0,0,,0,0,6.5,6.1,43.6,1009,100,24.1,0,,0,10,Overcast,cloudy,remote
phan thiet,2022-12-04T05:00:00,22.3,22.3,19.9,86.29,0,0,,0,0,6.1,5.4,25.6,1009,100,24.1,0,,0,10,Overcast,cloudy,remote
phan thiet,2022-12-04T06:00:00,22.4,22.4,19.9,85.77,0,0,,0,0,4.7,4.3,21.5,1009,100,24.1,0,,0,10,Overcast,cloudy,remote
phan thiet,2022-12-04T07:00:00,23.6,23.6,20.6,83.29,0,0,,0,0,4,3.2,4.5,1010,100,24.1,36,0.1,0,5,Overcast,cloudy,remote
phan thiet,2022-12-04T08:00:00,24.7,24.7,20.7,78.45,0,0,,0,0,5.8,3.6,54.4,1011,98.7,24.1,113,0.4,1,5,Overcast,cloudy,remote
phan thiet,2022-12-04T09:00:00,26,26,20.9,73.51,0,0,,0,0,8.6,6.1,95.4,1011,66.4,24.1,283,1,3,3,Partially cloudy,partly-cloudy-day,remote
phan thiet,2022-12-04T10:00:00,28.1,30.2,21,65.38,0,0,,0,0,14.8,9.7,93.3,1011,10.9,24.1,654,2.4,7,10,Clear,clear-day,remote
phan thiet,2022-12-04T11:00:00,29.6,31.9,20.9,59.57,0,0,,0,0,22.7,11.5,83.7,1010,52.7,24.1,809,2.9,8,10,Partially cloudy,partly-cloudy-day,remote
phan thiet,2022-12-04T12:00:00,30,32.4,20.9,58.21,0,0,,0,0,26.3,14.4,88.4,1009,95.3,24.1,795,2.9,8,10,Overcast,cloudy,remote
phan thiet,2022-12-04T13:00:00,28.7,31.1,21.4,64.71,0,0,,0,0,20.2,14.8,91.7,1008,100,24.1,482,1.7,5,10,Overcast,cloudy,remote
phan thiet,2022-12-04T14:00:00,28,30.5,21.9,69.49,0,52.4,rain,0,0,20.2,13.7,91.2,1008,100,24.1,313,1.1,3,10,"Rain, Overcast",rain,
phan thiet,2022-12-04T15:00:00,28.8,31.6,22,66.74,0,52.4,rain,0,0,21.6,15.1,89.7,1007,100,24.1,409,1.5,4,30,"Rain, Overcast",rain,
phan thiet,2022-12-04T16:00:00,27.8,30.6,22.6,73.37,0,52.4,rain,0,0,21.6,14.8,97.7,1008,100,24.1,281,1,3,30,"Rain, Overcast",rain,
phan thiet,2022-12-04T17:00:00,25.9,25.9,22.5,81.54,0,52.4,rain,0,0,24.5,12.6,92.8,1008,64.8,24.1,99,0.4,1,10,"Rain, Partially cloudy",rain,
phan thiet,2022-12-04T18:00:00,24.6,24.6,22.1,85.99,0.1,52.4,rain,0,0,15.8,9.4,82.8,1009,84.7,24.1,5,0,0,10,"Rain, Partially cloudy",rain,
phan thiet,2022-12-04T19:00:00,24.1,24.1,22,88.06,0,52.4,rain,0,0,11.5,6.5,57.1,1010,75.9,24.1,0,,0,10,"Rain, Partially cloudy",rain,
phan thiet,2022-12-04T20:00:00,23.7,23.7,22,90.21,0,0,,0,0,7.2,5,33.8,1011,34.8,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
phan thiet,2022-12-04T21:00:00,23.4,23.4,21.8,90.74,0,0,,0,0,5,4.7,27.3,1011,84.5,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,
phan thiet,2022-12-04T22:00:00,23.3,23.3,21.6,90.18,0,0,,0,0,5,4.7,20.9,1011,97,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-04T23:00:00,23.2,23.2,21.5,90.17,0,0,,0,0,4.7,4.3,27.6,1011,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-05T00:00:00,23.3,23.3,21.3,88.54,0,0,,0,0,4.7,4.3,29,1011,95.1,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-05T01:00:00,23.2,23.2,21.1,87.99,0,0,,0,0,4.3,4.3,22.7,1010,29.7,24.1,0,,0,3,Partially cloudy,partly-cloudy-night,
phan thiet,2022-12-05T02:00:00,22.7,22.7,20.7,88.49,0,0,,0,0,4.3,4.3,23,1010,68.7,24.1,0,,0,3,Partially cloudy,partly-cloudy-night,
phan thiet,2022-12-05T03:00:00,22.6,22.6,20.5,87.94,0,0,,0,0,5,5,17,1009,93.5,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-05T04:00:00,22.7,22.7,20.2,85.8,0,0,,0,0,4.3,4.7,15.3,1009,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-05T05:00:00,22.8,22.8,19.9,83.71,0,0,,0,0,4.3,4.7,13.4,1010,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-05T06:00:00,23,23,19.8,82.19,0,0,,0,0,4.3,4.3,7.8,1010,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-05T07:00:00,23.5,23.5,20.2,81.75,0,0,,0,0,3.6,3.6,0.7,1011,100,24.1,21,0.1,0,10,Overcast,cloudy,
phan thiet,2022-12-05T08:00:00,24.7,24.7,20.6,77.97,0,4.8,,0,0,3.2,2.2,26.1,1012,100,24.1,87,0.3,1,5,Overcast,cloudy,
phan thiet,2022-12-05T09:00:00,25.4,25.4,20.7,75.24,0,4.8,,0,0,5,3.2,65.7,1012,100,24.1,138,0.5,1,3,Overcast,cloudy,
phan thiet,2022-12-05T10:00:00,26.3,26.3,20.7,71.33,0,4.8,,0,0,5.8,4,66.7,1012,100,24.1,258,0.9,3,3,Overcast,cloudy,
phan thiet,2022-12-05T11:00:00,27,28.7,20.9,69.3,0,4.8,,0,0,6.5,4.7,82.7,1011,96.5,24.1,304,1.1,3,3,Overcast,cloudy,
phan thiet,2022-12-05T12:00:00,28.3,30.5,21.1,65.02,0,4.8,,0,0,7.6,4.7,111.3,1010,92.7,24.1,510,1.8,5,10,Overcast,cloudy,
phan thiet,2022-12-05T13:00:00,29.5,32.2,21.5,62.16,0,4.8,,0,0,9.7,8.6,133.8,1008,99.9,24.1,742,2.7,7,10,Overcast,cloudy,
phan thiet,2022-12-05T14:00:00,29.3,32.4,22.1,65.23,0,47.6,rain,0,0,10.4,10.8,128,1008,86.1,24.1,626,2.3,6,30,"Rain, Partially cloudy",rain,
phan thiet,2022-12-05T15:00:00,28.7,32,22.7,70.04,0,47.6,rain,0,0,9.7,10.1,122.7,1007,75.5,24.1,517,1.9,5,30,"Rain, Partially cloudy",rain,
phan thiet,2022-12-05T16:00:00,27.9,31,23,74.73,0,47.6,rain,0,0,10.1,9.4,114.8,1008,95.1,24.1,328,1.2,3,30,"Rain, Overcast",rain,
phan thiet,2022-12-05T17:00:00,26.1,26.1,23.2,84.08,0.1,47.6,rain,0,0,11.9,6.5,110.2,1008,100,24.1,106,0.4,1,30,"Rain, Overcast",rain,
phan thiet,2022-12-05T18:00:00,24.6,24.6,22.6,88.64,0.1,47.6,rain,0,0,5.4,2.9,94.8,1009,100,21.2,5,0,0,30,"Rain, Overcast",rain,
phan thiet,2022-12-05T19:00:00,24,24,22.4,90.78,0.3,47.6,rain,0,0,5,3.2,53.8,1010,100,24.1,0,,0,10,"Rain, Overcast",rain,
phan thiet,2022-12-05T20:00:00,23.7,23.7,22.2,91.32,0.1,0,rain,0,0,5,3.6,32.3,1010,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-05T21:00:00,23.4,23.4,22.1,92.42,0,0,,0,0,5,4.3,34.9,1011,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-05T22:00:00,23.2,23.2,21.9,92.41,0.1,0,rain,0,0,5.4,4.7,30.8,1011,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-05T23:00:00,23.1,23.1,21.7,91.84,0,0,,0,0,5,4.7,24.3,1010,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-06T00:00:00,22.9,22.9,21.5,91.83,0,0,,0,0,4.7,4.3,18.1,1010,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-06T01:00:00,22.8,22.8,21.3,91.26,0,0,,0,0,4.7,4.7,17.8,1010,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-06T02:00:00,22.7,22.7,21,90.14,0,0,,0,0,4.7,4.7,0.7,1009,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-06T03:00:00,22.6,22.6,20.7,89.03,0,0,,0,0,4.3,4.3,2.6,1009,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-06T04:00:00,22.5,22.5,20.3,87.39,0,0,,0,0,4.3,4.3,357.7,1009,100,24.1,0,,0,3,Overcast,cloudy,
phan thiet,2022-12-06T05:00:00,22.6,22.6,20.1,85.79,0,0,,0,0,4.7,4.7,351,1009,93.8,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-06T06:00:00,22.7,22.7,19.8,83.7,0,0,,0,0,4,4.3,351.3,1009,89.2,24.1,0,,0,10,Partially cloudy,partly-cloudy-day,
phan thiet,2022-12-06T07:00:00,23.7,23.7,20.5,82.28,0,0,,0,0,2.9,2.9,343.4,1010,67.5,24.1,40,0.1,0,10,Partially cloudy,partly-cloudy-day,
phan thiet,2022-12-06T08:00:00,25.6,25.6,20.5,73.44,0,0,,0,0,3.2,2.2,27.6,1011,97.8,24.1,257,0.9,3,10,Overcast,cloudy,
phan thiet,2022-12-06T09:00:00,26.9,28.4,20.4,67.59,0,0,,0,0,5.8,4,74.5,1011,67.8,24.1,379,1.4,4,10,Partially cloudy,partly-cloudy-day,
phan thiet,2022-12-06T10:00:00,28.7,30.6,20.4,60.85,0,0,,0,0,9.7,6.5,82.3,1010,98,24.1,651,2.3,7,10,Overcast,cloudy,
phan thiet,2022-12-06T11:00:00,29.6,31.7,20.5,58.12,0,0,,0,0,14.4,9.4,91.3,1010,95.6,24.1,733,2.6,7,10,Overcast,cloudy,
phan thiet,2022-12-06T12:00:00,30.1,32.5,20.9,57.88,0,0,,0,0,15.8,12.2,102,1009,99.8,24.1,786,2.8,8,10,Overcast,cloudy,
phan thiet,2022-12-06T13:00:00,30.1,33,21.6,60.42,0,0,,0,0,16.2,14.4,109.3,1007,100,24.1,759,2.7,8,10,Overcast,cloudy,
phan thiet,2022-12-06T14:00:00,29.7,33,22.2,64.13,0,71.4,rain,0,0,15.8,14,114.1,1007,100,24.1,631,2.3,6,30,"Rain, Overcast",rain,
phan thiet,2022-12-06T15:00:00,29,32.3,22.5,68.01,0,71.4,rain,0,0,16.9,14.8,105.9,1006,98.6,24.1,465,1.7,5,30,"Rain, Overcast",rain,
phan thiet,2022-12-06T16:00:00,28.2,31.3,22.8,72.55,0.1,71.4,rain,0,0,20.5,12.6,92.6,1007,46.8,24.1,301,1.1,3,30,"Rain, Partially cloudy",rain,
phan thiet,2022-12-06T17:00:00,26.3,26.3,23,82.09,0.2,71.4,rain,0,0,13.7,8.3,84.3,1007,84.4,19,131,0.5,1,30,"Rain, Partially cloudy",rain,
phan thiet,2022-12-06T18:00:00,24.6,24.6,22.4,87.57,0,71.4,rain,0,0,9.7,5,71.1,1008,100,24.1,6,0,0,10,"Rain, Overcast",rain,
phan thiet,2022-12-06T19:00:00,24,24,22.2,89.68,0.1,71.4,rain,0,0,7.2,4.3,48.1,1009,99.4,24.1,0,,0,10,"Rain, Overcast",rain,
phan thiet,2022-12-06T20:00:00,23.6,23.6,22,90.75,0,4.8,,0,0,6.1,4.7,50.1,1009,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-06T21:00:00,23.3,23.3,21.8,91.29,0,4.8,,0,0,5,4.3,39.7,1009,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-06T22:00:00,23,23,21.4,90.71,0,4.8,,0,0,6.1,5.8,33.6,1009,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-06T23:00:00,22.8,22.8,21.1,90.15,0,4.8,,0,0,6.1,6.1,22.1,1009,100,24.1,0,,0,10,Overcast,cloudy,
phan thiet,2022-12-07T00:00:00,22.5,22.5,20.7,89.57,0,4.8,,0,0,5.8,5.4,13.8,1009,100,24.1,0,,0,10,Overcast,cloudy,
